time	frame	x	y	
02:22.2	-4267	"8,39"	"7,48"	1
02:22.3	-4268	"7,71"	"7,59"	1
02:22.4	-4272	"7,23"	"7,79"	1
02:22.5	-4275	"7,19"	"7,79"	1
02:22.6	-4279	"6,99"	"7,82"	1
02:22.8	-4283	"6,67"	"7,5"	1
02:22.9	-4287	"6,4"	"6,26"	1
02:23.0	-4290	"6,61"	"5,78"	1
02:23.1	-4294	"7,06"	"5,03"	1
02:23.3	-4298	"7,15"	"3,79"	1
02:23.4	-4302	"6,56"	"2,86"	1
02:23.5	-4305	"6,2"	"2,62"	1
02:23.6	-4309	"5,4"	"2,85"	1
02:23.8	-4313	"5,16"	"3,05"	1
02:23.9	-4317	"5,12"	"3,17"	1
02:24.0	-4320	"5,07"	"3,53"	1
02:24.1	-4324	"5,19"	"3,69"	1
02:24.3	-4328	"5,35"	"3,77"	1
02:24.4	-4332	"5,63"	"3,86"	1
02:24.5	-4334	"5,63"	"3,85"	1
02:24.5	-4335	"5,91"	"3,9"	1
02:24.6	-4339	"6,23"	"3,86"	1
02:24.8	-4343	"6,39"	"3,82"	1
02:24.9	-4347	"6,63"	"3,82"	1
02:25.0	-4350	"6,91"	"3,75"	1
02:25.1	-4354	"7,07"	"3,71"	1
02:25.3	-4358	"7,27"	"3,71"	1
02:25.4	-4362	"7,51"	"3,67"	1
02:25.5	-4365	"5,67"	"3,49"	1
02:25.6	-4369	"4,91"	"3,41"	1
02:25.8	-4373	"4,59"	"3,4"	1
02:25.9	-4377	"4,63"	"3,36"	1
02:26.0	-4380	"4,83"	"3,37"	1
02:26.1	-4384	"4,95"	"3,33"	1
02:26.3	-4388	"5,23"	"3,29"	1
02:26.4	-4392	"5,59"	"3,29"	1
02:26.5	-4396	"5,91"	"3,3"	1
02:26.6	-4399	"6,23"	"3,3"	1
02:26.8	-4403	"6,55"	"3,26"	1
02:26.9	-4407	"6,63"	"3,18"	1
02:27.0	-4411	"6,71"	"3,07"	1
02:27.1	-4414	"6,87"	"3,07"	1
02:27.3	-4418	"6,44"	"2,78"	1
